city_name,grid_id,target_style,building_count,building_density,avg_building_area,avg_building_perimeter,shape_complexity_ratio,courtyard_index,std_building_area,road_segment_count,total_road_length,avg_road_segment_length,road_density_ratio
"Copenhagen Municipality, Denmark",203,XIX_Century_Blocks,79,0.30908944417143097,625.6221411012167,133.45663227762296,0.4850244870677527,0.9096010770891352,0.0,413,15202.9128581876,36.81092701740339,0.027165846675620355
"Copenhagen Municipality, Denmark",204,XIX_Century_Blocks,72,0.40276815968519725,894.4942389901488,188.08529076027946,0.4429853265542448,0.8527851012949119,0.0,193,11967.468493018649,62.00760877211735,0.01612705309826536
"Copenhagen Municipality, Denmark",205,XIX_Century_Blocks,84,0.3216031435404609,612.2034862005187,134.8099011591931,0.3424886287562674,0.8514864963274449,0.0,241,12326.795463088567,51.14852889248368,0.019550904411948983
"Copenhagen Municipality, Denmark",226,XIX_Century_Blocks,55,0.17845723194516153,518.8278521468574,117.46778167652127,0.43806111643626044,0.9125158295992022,0.0,118,8287.629062287651,70.23414459565807,0.01423808896015519
"Copenhagen Municipality, Denmark",227,XIX_Century_Blocks,120,0.47614370687511276,634.466224993254,133.3598119096024,0.44843363123495616,0.8631876701223462,0.0,227,11360.279902372447,50.04528591353501,0.019981902008662213
"Copenhagen Municipality, Denmark",228,XIX_Century_Blocks,124,0.4634070625701483,597.5751848133866,112.66208764914839,0.5041587109762952,0.8925669011006713,0.0,231,11515.700224423208,49.85151612304419,0.020059570438407667
"Copenhagen Municipality, Denmark",229,XIX_Century_Blocks,119,0.39106403369839143,525.4754023631767,106.81743876431835,0.43107373581136416,0.917813500862115,0.0,334,13540.669731564583,40.540927340013724,0.024666431304704972
"Copenhagen Municipality, Denmark",253,XIX_Century_Blocks,67,0.2166880853981877,517.1409799468192,115.96966056971058,0.7039013118361721,0.9026538679663119,0.0,196,11091.259061153733,56.58805643445782,0.017671573510509634
"Copenhagen Municipality, Denmark",254,XIX_Century_Blocks,70,0.25348173738345237,579.0249074551505,127.3627507633068,0.5749845981233997,0.8899847538330965,0.0,170,10481.166385655726,61.65391991562192,0.016219568851655885
"Copenhagen Municipality, Denmark",255,XIX_Century_Blocks,152,0.5755082464666066,605.4195765913279,113.97263774897597,0.6552724803580166,0.8948843122915635,0.0,389,13167.688968349183,33.85010017570484,0.029542010039848958
"Copenhagen Municipality, Denmark",256,XIX_Century_Blocks,49,0.42048392612392926,1372.1503533989521,184.83570582033624,0.3592245188605989,0.8583771369186778,0.0,202,13262.491300323545,65.65589752635418,0.015230924211257569
"Copenhagen Municipality, Denmark",257,XIX_Century_Blocks,82,0.2697142127906197,525.9424796737488,102.84054223233132,0.5711562972072609,0.9116012973945059,0.0,417,15262.986441735171,36.60188595140329,0.02732099653751533
"Copenhagen Municipality, Denmark",282,XIX_Century_Blocks,216,0.4104411788679367,303.8384211695622,79.77313822291927,0.6698672106341296,0.9243074513635707,0.0,264,12600.783064998162,47.7302388825688,0.020951078867774135
"Copenhagen Municipality, Denmark",283,XIX_Century_Blocks,108,0.37325348064376346,552.6186184965612,123.0370976743854,0.5049423300003162,0.880967190897068,0.0,302,12213.932361777199,40.44348464164636,0.024725861484040396
"Copenhagen Municipality, Denmark",284,XIX_Century_Blocks,145,0.4800118751129102,529.3333632745148,107.54805000460297,0.5184343923161964,0.8915373886333072,0.0,174,10554.690306249442,60.65913969108875,0.016485561848472125
"Copenhagen Municipality, Denmark",285,XIX_Century_Blocks,121,0.40025258740066955,528.9248272285107,105.9198425699072,0.5063853654238317,0.9301113633170355,0.0,248,12671.722265772867,51.095654297471235,0.019571135998944084
"Copenhagen Municipality, Denmark",286,XIX_Century_Blocks,59,0.22594596046045085,612.3470519296161,104.85801269946555,0.37580642150742866,0.9450175288124788,0.0,413,17543.3122211296,42.47775356205714,0.02354173456863837
"Copenhagen Municipality, Denmark",313,XIX_Century_Blocks,177,0.46937444669484574,424.021979712321,102.88253023148661,0.5427442613902382,0.8788051893351944,0.0,291,11665.354971448256,40.08713048607648,0.024945661787642598
"Copenhagen Municipality, Denmark",314,XIX_Century_Blocks,190,0.4356696914203324,366.6450510521187,92.93700403087114,0.4982489888652726,0.8975417641259748,0.0,229,11693.445231066351,51.06307961164345,0.019583621018360964
"Copenhagen Municipality, Denmark",315,XIX_Century_Blocks,137,0.5013510184844426,585.1447346073492,115.69317048210208,0.4736688732283238,0.9019585417711624,0.0,335,13121.02268035214,39.16723188164818,0.025531546427880563
"Copenhagen Municipality, Denmark",351,Medieval_Center,46,0.3573452479521464,1242.1337851177016,220.69245410699529,0.30597652170076495,0.8810866155117884,0.0,331,14954.954808200955,45.181132351060285,0.022133132732514566
"Copenhagen Municipality, Denmark",352,Medieval_Center,9,0.09351110007161795,1661.3408309577771,238.87549470210286,0.7242959854280271,0.8857920045463892,0.0,64,3005.45676705034,46.960261985161566,0.021294600038404752
"Copenhagen Municipality, Denmark",382,Medieval_Center,34,0.22291877104478894,1048.3416100221602,115.22553159826778,0.6266166718076611,0.9259822008563194,0.0,124,11629.841666634973,93.78904569866914,0.010662225974161213
"Copenhagen Municipality, Denmark",383,Medieval_Center,12,0.22986649728935063,3062.8760390058046,389.1728022822617,0.2681111810782435,0.8194655197536346,0.0,204,11638.75235444622,57.052707619834415,0.017527651900488432
"Copenhagen Municipality, Denmark",384,Medieval_Center,22,0.1890481509066817,1373.9933441069727,223.6647964686629,0.3221994915276332,0.8746357178076711,0.0,241,12687.425032100185,52.64491714564392,0.01899518611540948
"Copenhagen Municipality, Denmark",385,Medieval_Center,59,0.1665499071322795,451.3642381518302,103.5637382029261,0.45901815096171183,0.8943102881173077,0.0,795,15232.925674452696,19.160912798053705,0.05218958041733292
"Copenhagen Municipality, Denmark",414,Medieval_Center,100,0.42238649654860144,675.3704140457733,147.65976687054942,0.522860724898892,0.8747868188042706,0.0,241,10296.690201626323,42.72485560840798,0.02340557937033778
"Copenhagen Municipality, Denmark",415,Medieval_Center,111,0.2134820232498116,307.5177759983662,79.16843670285071,0.6472410097980915,0.9416135370022679,0.0,293,14462.678734890647,49.360678276077294,0.020259040885044245
"Copenhagen Municipality, Denmark",416,Medieval_Center,69,0.11012738814846425,255.19844880410997,70.13118014236703,0.36054281463952226,0.9242300738501108,0.0,132,7981.966811477835,60.46944554149875,0.016537277459587416
"Copenhagen Municipality, Denmark",417,Medieval_Center,110,0.13253139761665228,192.64500914319905,59.821997484323994,0.40756275912678425,0.9264319640922087,0.0,150,9748.149320497481,64.98766213664987,0.01538753612757233
"Copenhagen Municipality, Denmark",418,Medieval_Center,157,0.19364789693980103,197.21715513637284,56.841981149361466,0.4955018374854853,0.9382905449259787,0.0,200,8247.15190778641,41.23575953893205,0.024250796152871318
"Copenhagen Municipality, Denmark",419,Medieval_Center,4,0.0029345582885965216,117.30437075991637,42.721450883909675,0.5911235762087441,0.9257806737804034,0.0,0,0.0,0.0,0.0
"Copenhagen Municipality, Denmark",422,Modern_Urbanism,62,0.18437274256441982,475.4847896834396,95.15947098823565,0.3232495032302294,0.9356955304824933,0.0,301,10650.831959463994,35.38482378559466,0.028260703094647347
"Copenhagen Municipality, Denmark",423,Modern_Urbanism,21,0.023498244524712344,178.9153548244282,52.01143961472216,0.6885280624015235,0.9622749541547684,0.0,318,16805.23134623303,52.84663945356299,0.018922679090761483
"Copenhagen Municipality, Denmark",424,Modern_Urbanism,5,0.02707806741131913,865.9225278175312,155.93094549431902,0.35045267434547644,0.8440143248932314,0.0,158,11776.904973387307,74.53737324928676,0.013416088541333852
"Copenhagen Municipality, Denmark",425,Modern_Urbanism,0,0.0,0.0,0.0,0.0,0.0,0.0,38,8025.557957853401,211.19889362772108,0.004734873282606652
"Copenhagen Municipality, Denmark",447,Medieval_Center,148,0.3871306584332149,418.2391174716419,90.57877594471387,0.7841540674883855,0.9104292477531469,0.0,314,11759.130647028582,37.4494606593267,0.026702654231698517
"Copenhagen Municipality, Denmark",448,Medieval_Center,166,0.2600471794777116,250.47982227527382,63.96492370809449,0.6965499808537814,0.9564320953974447,0.0,283,13207.225230195923,46.66864038938489,0.021427665149428603
"Copenhagen Municipality, Denmark",449,Medieval_Center,100,0.23438166149085518,374.7591139931257,88.76643413305538,0.3470184531653943,0.919107269420362,0.0,335,11941.086427778258,35.64503411277092,0.02805439871368435
"Copenhagen Municipality, Denmark",450,Medieval_Center,48,0.0867639933130133,289.0192421685788,73.7458354324483,0.47256510169724764,0.9190589001133643,0.0,75,3504.069414165274,46.72092552220365,0.021403685521403794
"Copenhagen Municipality, Denmark",451,Medieval_Center,6,0.042299719058583436,1127.2353087302506,211.4947543355385,0.22211869819653662,0.8089503344200305,0.0,86,2445.618026013911,28.437418907138497,0.03516493529797914
"Copenhagen Municipality, Denmark",453,Modern_Urbanism,28,0.2852512197591447,1628.9133350254867,245.38223636811546,0.3896842871106266,0.8306088056292905,0.0,193,9563.697806805925,49.552838377232774,0.02018047869108206
"Copenhagen Municipality, Denmark",454,Modern_Urbanism,65,0.4198081185173343,1032.6802329180337,125.79352422978626,0.3385974359782069,0.9157535299500662,0.0,364,12398.174101157236,34.06091786032208,0.02935916181983869
"Copenhagen Municipality, Denmark",455,Modern_Urbanism,15,0.2748081806699558,2929.319033529252,224.66719866551796,0.5228630888834999,0.8590947673813811,0.0,602,22552.851150005205,37.46320789037409,0.026692855627388493
"Copenhagen Municipality, Denmark",456,Modern_Urbanism,23,0.47151918847350627,3277.9301776407488,212.6224908835328,0.35519861431680644,0.8693011863019009,0.0,377,16575.944107272953,43.9680215047028,0.02274380254498731
"Copenhagen Municipality, Denmark",457,Modern_Urbanism,59,0.21953661095453872,594.953461181208,123.62977617185884,0.47626183537242617,0.877257052854204,0.0,368,14609.127272713598,39.6987154149826,0.025189731931177014
"Copenhagen Municipality, Denmark",480,Medieval_Center,72,0.11394934952481958,253.04912138816405,57.118892706686765,0.580618384455022,0.9496859560858708,0.0,234,13058.009927949199,55.80346123055213,0.0179200353738397
"Copenhagen Municipality, Denmark",481,Medieval_Center,40,0.0496446243266836,198.4438323441918,58.85363390006326,0.359211130249128,0.9529076717928054,0.0,156,5089.23210167794,32.623282703063715,0.03065295442941906
"Copenhagen Municipality, Denmark",483,Modern_Urbanism,203,0.06456940319988792,50.85761844352535,30.001720711424653,0.8679586650416607,0.9354053122544183,0.0,83,9034.027430927352,108.84370398707652,0.009187485929473773
"Copenhagen Municipality, Denmark",484,Modern_Urbanism,348,0.1523465751664986,69.99687065885203,31.318998101008493,0.8534555307312233,0.9271427705544729,0.0,71,8495.652718301668,119.65708053946011,0.008357215421891818
"Copenhagen Municipality, Denmark",485,Modern_Urbanism,304,0.17015157256860367,89.49266576062332,29.51895012180902,0.9043814672431765,0.9440049158754293,0.0,226,15724.344513686476,69.57674563578087,0.014372618181925697
"Copenhagen Municipality, Denmark",486,Modern_Urbanism,198,0.5470262959347403,441.7412571248665,53.75522458121192,0.6457893318283724,0.9439763204038782,0.0,388,14679.758618042362,37.83442942794423,0.026430952295006655
"Copenhagen Municipality, Denmark",487,Modern_Urbanism,167,0.2807343471419666,268.78431218670926,62.307460752398576,0.5707103199802176,0.9306594884906401,0.0,442,15642.994852423088,35.391391068830515,0.02825545900176397
"Copenhagen Municipality, Denmark",488,Modern_Urbanism,161,0.6256620845832709,621.3534115052508,71.70863334382906,0.8064491116603026,0.9256655601954545,0.0,435,15476.063424819553,35.57715729843575,0.028107923040771123
"Copenhagen Municipality, Denmark",511,Medieval_Center,10,0.004336895335828676,69.34275667561647,41.90293190942644,0.6506897850441284,0.8999876202949693,0.0,10,694.9362087518623,69.49362087518622,0.014389809784213671
"Copenhagen Municipality, Denmark",513,Modern_Urbanism,396,0.12712650062945632,51.329007256149914,29.009129882787033,0.8528559598447097,0.9441470310849627,0.0,110,8896.544806943859,80.877680063126,0.012364350684829934
"Copenhagen Municipality, Denmark",514,Modern_Urbanism,478,0.1349808651011271,45.15087356344809,27.555554048056777,0.8801658653867044,0.9440363201332188,0.0,103,9433.526684666534,91.58763771520907,0.010918504111323866
"Copenhagen Municipality, Denmark",515,Modern_Urbanism,475,0.16228623576027584,54.62730965735876,29.677514334593596,0.8822744411480177,0.9381198961650632,0.0,101,10081.86360689125,99.8204317513985,0.010017989117684914
"Copenhagen Municipality, Denmark",516,Modern_Urbanism,450,0.243981803896134,86.68950995032837,38.83781829875841,0.7048030811152831,0.9352699932645883,0.0,120,8031.5547570181225,66.92962297515102,0.014941067262939482
"Copenhagen Municipality, Denmark",542,Modern_Urbanism,68,0.021011575646549107,49.40470843584158,29.587649087238997,0.8703304856739346,0.9252544606406007,0.0,22,3032.052333700015,137.82056062272795,0.007255811412923495
"Copenhagen Municipality, Denmark",543,Modern_Urbanism,60,0.02112295400723786,56.28879142574917,31.69764103401353,0.791589121882005,0.9290951732539219,0.0,15,3266.9641672626217,217.79761115084145,0.004591418572752288
"Odense Kommune, Denmark",1154,XIX_Century_Blocks,42,0.31402027446916464,1196.2677122634843,155.98590148805573,0.21499962435432504,0.9195120034123073,0.0,151,8850.381478384601,58.611797870096694,0.017061411442905045
"Odense Kommune, Denmark",1155,XIX_Century_Blocks,41,0.40604036626677337,1584.5477707971645,159.47871774885795,0.17453703926830655,0.9398400253691361,0.0,66,8515.765931152935,129.02675653262023,0.007750330440747691
"Odense Kommune, Denmark",1156,XIX_Century_Blocks,149,0.18797291890921844,201.85011426493256,35.30561517004253,0.7510627618429737,0.9732920029102271,0.0,74,9961.51819803789,134.6151107842958,0.007428586532150274
"Odense Kommune, Denmark",1196,XIX_Century_Blocks,233,0.35288404111885224,242.32380506015605,62.07360931605856,0.8014192802815584,0.9261411996846245,0.0,221,10728.887447453602,48.547002024676935,0.020598594297535133
"Odense Kommune, Denmark",1197,XIX_Century_Blocks,399,0.2908291236943486,116.62320749648065,40.35366695174892,0.7788267253823911,0.9426790539422684,0.0,136,8151.795061498255,59.939669569840106,0.016683441966727944
"Odense Kommune, Denmark",1198,XIX_Century_Blocks,187,0.1693008213065498,144.8563176954437,38.3202188299472,0.7399273172223313,0.9457242441275114,0.0,106,9099.738799939003,85.84659245225474,0.011648685991319189
"Odense Kommune, Denmark",1199,XIX_Century_Blocks,215,0.16347654901936898,121.65696671208855,42.704719131481916,0.7766880849047793,0.9685175846422843,0.0,194,12312.820683346392,63.46814785230099,0.015755934796064547
"Odense Kommune, Denmark",1200,XIX_Century_Blocks,38,0.03297227946267686,138.83065036916574,37.73242811495544,0.7112908105250687,0.9747387300904744,0.0,137,13392.524853218565,97.75565586290924,0.010229587131569112
"Odense Kommune, Denmark",1238,XIX_Century_Blocks,344,0.33504489058831394,155.83483283177392,51.1430691565819,0.7882171326839675,0.9218153189622097,0.0,204,11279.644003374779,55.29237256556264,0.018085677150635967
"Odense Kommune, Denmark",1239,XIX_Century_Blocks,400,0.24916835497254433,99.66734198901773,41.52797964365358,0.8564349455572691,0.9292153325676676,0.0,88,7434.22999864836,84.47988634827682,0.0118371371208085
"Odense Kommune, Denmark",1240,XIX_Century_Blocks,283,0.1801405531592495,101.84624913597146,39.34231753651492,0.9028578882043647,0.9390619798684836,0.0,304,11995.999739925637,39.4605254602817,0.025341781121818088
"Odense Kommune, Denmark",1241,XIX_Century_Blocks,347,0.19775423303311845,91.18350802679814,38.97483143434005,0.8719373351148747,0.9358986509508674,0.0,98,8487.769734013713,86.60989524503789,0.011546024804586366
"Odense Kommune, Denmark",1242,XIX_Century_Blocks,103,0.13789859725501208,214.21141321166925,52.15743161252937,0.9585316356015259,0.9273775289424141,0.0,134,6787.940432023654,50.65627188077353,0.019740892122508263
"Odense Kommune, Denmark",1279,XIX_Century_Blocks,352,0.24861229704637422,113.00558956653373,44.17864440643138,0.8072188498092866,0.9285181470210173,0.0,112,8464.656535783874,75.5772904980703,0.013231487821651266
"Odense Kommune, Denmark",1280,XIX_Century_Blocks,335,0.1906530638372846,91.0581797431807,37.944432114196324,0.913933819181023,0.9369105976283112,0.0,84,7915.756181864835,94.23519264124803,0.01061174674459129
"Odense Kommune, Denmark",1281,XIX_Century_Blocks,418,0.22099042043531353,84.58963461638795,37.22258591642127,0.898484513275183,0.9376261261294093,0.0,108,7173.936659330326,66.42533943824375,0.015054495875565293
"Odense Kommune, Denmark",1282,XIX_Century_Blocks,295,0.2263973237539573,122.79176881570565,41.96633435060603,0.8959709369625264,0.9419903904217466,0.0,306,11622.015120330569,37.98044156970774,0.026329341045290514
"Odense Kommune, Denmark",1283,XIX_Century_Blocks,147,0.1014560992671257,110.428407365579,42.17463157609643,0.8977488544133393,0.9374906630973232,0.0,138,7491.929921530369,54.289347257466446,0.01841981989436611
"Odense Kommune, Denmark",1319,XIX_Century_Blocks,208,0.19020758927235734,146.31353020950564,49.269342958606174,0.7260530363734087,0.9280595138593472,0.0,259,10834.063297760797,41.83036022301466,0.023906081462018943
"Odense Kommune, Denmark",1320,XIX_Century_Blocks,254,0.20141397134538208,126.87494257976824,46.04267535295714,0.9529628296458832,0.9398773913329795,0.0,188,11436.946643738116,60.83482257307509,0.01643795373816429
"Odense Kommune, Denmark",1321,XIX_Century_Blocks,167,0.12569692046305414,120.42818726999201,43.38928486677354,0.9070940231211584,0.9416891434191652,0.0,182,9767.586291796495,53.66805654833239,0.018633057786909525
"Odense Kommune, Denmark",1526,Medieval_Center,0,0.0,0.0,0.0,0.0,0.0,0.0,40,3993.3211199544203,99.8330279988605,0.010016725101308483
"Odense Kommune, Denmark",1527,Medieval_Center,27,0.04312759234272454,255.5709175865158,68.77406787457726,0.5589026693026872,0.9220047148136474,0.0,50,4257.997600689047,85.15995201378095,0.011742608749822381
"Odense Kommune, Denmark",1528,Medieval_Center,26,0.12561040551617927,772.9871108687955,98.43179182648623,0.48920190947727643,0.9114751116406877,0.0,119,8081.63893867849,67.91293225780244,0.014724736004131796
"Odense Kommune, Denmark",1566,Medieval_Center,201,0.23754433817217674,189.09002043556356,62.312005283472836,0.8337472273298916,0.8919993294678489,0.0,420,15283.442975020787,36.389149940525684,0.027480718867577126
"Odense Kommune, Denmark",1567,Medieval_Center,4,0.0075506831569743,302.027326278972,95.92645712298244,0.639200144051898,0.8787003602642005,0.0,52,5131.79099093992,98.68828828730616,0.010132914608267537
"Odense Kommune, Denmark",1568,Medieval_Center,9,0.008419536316528139,149.6806456271669,51.592006049465404,0.45795609826348715,0.9811532426945129,0.0,157,11988.377808625666,76.35909432245647,0.01309601702376096
"Odense Kommune, Denmark",1569,Medieval_Center,13,0.20952934644238877,2578.8227254447847,253.76379377342275,0.24294722830407686,0.8236406494171218,0.0,265,14866.302753314496,56.09925567288489,0.01782554843790342
"Odense Kommune, Denmark",1570,Medieval_Center,234,0.14020839845609545,95.86899039733024,38.84169550635776,0.7139118334987095,0.9540315542772979,0.0,233,12317.610077870333,52.86527930416452,0.018916007109970535
"Odense Kommune, Denmark",1604,Medieval_Center,211,0.2603660038263351,197.43393655077546,54.96759019520132,0.8635135462825778,0.9328468899806223,0.0,318,14087.96103315102,44.301764255191884,0.022572464462811557
"Odense Kommune, Denmark",1605,Medieval_Center,139,0.2512131511278948,289.1662171256343,71.94050332593508,0.8725982914813005,0.9272971491294668,0.0,163,9500.678943465422,58.28637388629093,0.017156668570570414
"Odense Kommune, Denmark",1606,Medieval_Center,26,0.29278788253945187,1801.7715848581652,210.01390898503485,0.5342275493848263,0.8604415892370619,0.0,219,12025.58817257904,54.91136151862575,0.018211167443539768
"Odense Kommune, Denmark",1607,Medieval_Center,80,0.16273313088399727,325.4662617679945,70.97883425110811,0.7326098331272444,0.900561642572016,0.0,194,12524.863556951812,64.56115235542171,0.01548919067764456
"Odense Kommune, Denmark",1608,Medieval_Center,126,0.09552782464295173,121.30517414977999,42.35838457100868,0.8344418347181924,0.9636920613304112,0.0,322,12004.057028725521,37.279680213433295,0.02682426441004207
"Odense Kommune, Denmark",1642,Medieval_Center,164,0.2577396783824499,251.45334476336575,60.38031010622104,0.8178739937456703,0.9266793035940264,0.0,220,13018.751833469956,59.17614469759071,0.016898701399731285
"Odense Kommune, Denmark",1643,Medieval_Center,57,0.3033073071899234,851.3889324629429,138.58201341284249,0.6609927420481065,0.9173436692942206,0.0,168,10758.58084516734,64.03917169742465,0.015615442432568577
"Odense Kommune, Denmark",1644,Medieval_Center,186,0.2691429662527799,231.520831185187,60.20453450270928,0.6778745902924813,0.9383237156678067,0.0,315,14598.62642994629,46.3448458093533,0.021577372453209984
"Odense Kommune, Denmark",1645,Medieval_Center,173,0.13427422259523913,124.1842521112038,47.00403466567074,0.745225784679148,0.9239599367441104,0.0,271,12568.88562469863,46.379651751655466,0.02156117955690969
"Odense Kommune, Denmark",1646,Medieval_Center,71,0.07203013058338001,162.32142103296906,47.3312571773528,0.8877190010887238,0.9422349737051807,0.0,208,8643.16092605594,41.553658298345866,0.024065269817238284
"Odense Kommune, Denmark",1681,Medieval_Center,38,0.3066369004520611,1291.1027387455206,157.98714123375132,0.4818609540396776,0.897388338242229,0.0,166,9190.425244658945,55.36400749794545,0.01806227627125838
